2016-07-28 03:16:32,586,Tag Name,Iteration,Testing Accuracy(256),Testing Accuracy(512),Testing Accuracy(2048),Elapsed Time,L1,L2,L3
2016-07-28 03:16:38,152,cnn_mnist_test_acc_2_2_16,26880,0.074219,0.09570,0.09570,0.0405,2,2,16
2016-07-28 03:16:38,158,cnn_mnist_test_acc_2_2_4,33280,0.093750,0.09766,0.11475,0.0394,2,2,4
2016-07-28 03:16:38,171,cnn_mnist_test_acc_2_2_2,26880,0.089844,0.10938,0.10938,0.0419,2,2,2
2016-07-28 03:16:38,187,cnn_mnist_test_acc_2_2_8,26880,0.089844,0.10938,0.11768,0.04,2,2,8
2016-07-28 03:16:38,189,cnn_mnist_test_acc_2_2_16,28160,0.070312,0.09961,0.09717,0.0373,2,2,16
2016-07-28 03:16:38,195,cnn_mnist_test_acc_2_2_4,34560,0.097656,0.10352,0.11621,0.0365,2,2,4
2016-07-28 03:16:38,207,cnn_mnist_test_acc_2_2_2,28160,0.089844,0.11133,0.10986,0.0357,2,2,2
2016-07-28 03:16:38,224,cnn_mnist_test_acc_2_2_8,28160,0.089844,0.10742,0.11719,0.0364,2,2,8
2016-07-28 03:16:38,227,cnn_mnist_test_acc_2_2_16,29440,0.078125,0.09961,0.09619,0.0376,2,2,16
2016-07-28 03:16:38,229,cnn_mnist_test_acc_2_2_4,35840,0.093750,0.09961,0.11670,0.0337,2,2,4
2016-07-28 03:16:38,244,cnn_mnist_test_acc_2_2_2,29440,0.093750,0.11523,0.11035,0.0364,2,2,2
2016-07-28 03:16:38,261,cnn_mnist_test_acc_2_2_8,29440,0.078125,0.09766,0.11328,0.0377,2,2,8
2016-07-28 03:16:38,265,cnn_mnist_test_acc_2_2_4,37120,0.097656,0.10156,0.11768,0.0366,2,2,4
2016-07-28 03:16:38,265,cnn_mnist_test_acc_2_2_16,30720,0.085938,0.09961,0.09521,0.0381,2,2,16
2016-07-28 03:16:38,279,cnn_mnist_test_acc_2_2_2,30720,0.089844,0.10938,0.10693,0.0356,2,2,2
2016-07-28 03:16:38,299,cnn_mnist_test_acc_2_2_8,30720,0.074219,0.08984,0.10889,0.0378,2,2,8
2016-07-28 03:16:38,301,cnn_mnist_test_acc_2_2_4,38400,0.097656,0.10156,0.11719,0.0354,2,2,4
2016-07-28 03:16:38,304,cnn_mnist_test_acc_2_2_16,32000,0.093750,0.10156,0.09570,0.0387,2,2,16
2016-07-28 03:16:38,315,cnn_mnist_test_acc_2_2_2,32000,0.089844,0.10938,0.10547,0.0351,2,2,2
2016-07-28 03:16:38,335,cnn_mnist_test_acc_2_2_8,32000,0.066406,0.08789,0.10742,0.0356,2,2,8
2016-07-28 03:16:38,335,cnn_mnist_test_acc_2_2_4,39680,0.097656,0.10156,0.11768,0.0344,2,2,4
2016-07-28 03:16:38,346,cnn_mnist_test_acc_2_2_16,33280,0.089844,0.10156,0.09521,0.042,2,2,16
2016-07-28 03:16:38,358,cnn_mnist_test_acc_2_2_2,33280,0.089844,0.10938,0.10645,0.0431,2,2,2
2016-07-28 03:16:38,371,cnn_mnist_test_acc_2_2_4,40960,0.093750,0.10156,0.11670,0.0351,2,2,4
2016-07-28 03:16:38,374,cnn_mnist_test_acc_2_2_8,33280,0.058594,0.08008,0.10303,0.0384,2,2,8
2016-07-28 03:16:38,384,cnn_mnist_test_acc_2_2_16,34560,0.089844,0.09961,0.09473,0.0372,2,2,16
2016-07-28 03:16:38,393,cnn_mnist_test_acc_2_2_2,34560,0.093750,0.11133,0.10693,0.0345,2,2,2
2016-07-28 03:16:38,405,cnn_mnist_test_acc_2_2_4,42240,0.101562,0.10547,0.11719,0.034,2,2,4
2016-07-28 03:16:38,410,cnn_mnist_test_acc_2_2_8,34560,0.058594,0.08008,0.10498,0.0359,2,2,8
2016-07-28 03:16:38,421,cnn_mnist_test_acc_2_2_16,35840,0.093750,0.10156,0.09619,0.0375,2,2,16
2016-07-28 03:16:38,431,cnn_mnist_test_acc_2_2_2,35840,0.093750,0.11133,0.10645,0.0383,2,2,2
2016-07-28 03:16:38,439,cnn_mnist_test_acc_2_2_4,43520,0.101562,0.10547,0.11670,0.0343,2,2,4
2016-07-28 03:16:38,447,cnn_mnist_test_acc_2_2_8,35840,0.054688,0.07812,0.10205,0.0367,2,2,8
2016-07-28 03:16:38,460,cnn_mnist_test_acc_2_2_16,37120,0.097656,0.10742,0.09766,0.038,2,2,16
2016-07-28 03:16:38,467,cnn_mnist_test_acc_2_2_2,37120,0.093750,0.11133,0.10645,0.0354,2,2,2
2016-07-28 03:16:38,474,cnn_mnist_test_acc_2_2_4,44800,0.105469,0.10742,0.11768,0.0349,2,2,4
2016-07-28 03:16:38,482,cnn_mnist_test_acc_2_2_8,37120,0.054688,0.07812,0.10400,0.0349,2,2,8
2016-07-28 03:16:38,499,cnn_mnist_test_acc_2_2_16,38400,0.093750,0.10156,0.09473,0.0395,2,2,16
2016-07-28 03:16:38,503,cnn_mnist_test_acc_2_2_2,38400,0.093750,0.11328,0.10645,0.0362,2,2,2
2016-07-28 03:16:38,511,cnn_mnist_test_acc_2_2_4,46080,0.105469,0.10742,0.11719,0.0361,2,2,4
2016-07-28 03:16:38,517,cnn_mnist_test_acc_2_2_8,38400,0.054688,0.08008,0.10352,0.035,2,2,8
2016-07-28 03:16:38,536,cnn_mnist_test_acc_2_2_16,39680,0.089844,0.09766,0.09375,0.0364,2,2,16
2016-07-28 03:16:38,538,cnn_mnist_test_acc_2_2_2,39680,0.093750,0.11328,0.10645,0.0341,2,2,2
2016-07-28 03:16:38,547,cnn_mnist_test_acc_2_2_4,47360,0.105469,0.10742,0.11621,0.0361,2,2,4
2016-07-28 03:16:38,554,cnn_mnist_test_acc_2_2_8,39680,0.054688,0.08203,0.10449,0.0364,2,2,8
2016-07-28 03:16:38,572,cnn_mnist_test_acc_2_2_2,40960,0.093750,0.11328,0.10742,0.0341,2,2,2
2016-07-28 03:16:38,575,cnn_mnist_test_acc_2_2_16,40960,0.093750,0.09766,0.09717,0.039,2,2,16
2016-07-28 03:16:38,582,cnn_mnist_test_acc_2_2_4,48640,0.101562,0.10547,0.11572,0.0346,2,2,4
2016-07-28 03:16:38,590,cnn_mnist_test_acc_2_2_8,40960,0.058594,0.08398,0.10303,0.0366,2,2,8
2016-07-28 03:16:38,608,cnn_mnist_test_acc_2_2_2,42240,0.097656,0.11523,0.10840,0.0362,2,2,2
2016-07-28 03:16:38,614,cnn_mnist_test_acc_2_2_16,42240,0.101562,0.09766,0.10010,0.0382,2,2,16
2016-07-28 03:16:38,617,cnn_mnist_test_acc_2_2_4,49920,0.101562,0.10547,0.11621,0.035,2,2,4
2016-07-28 03:16:38,626,cnn_mnist_test_acc_2_2_8,42240,0.058594,0.08398,0.10205,0.0353,2,2,8
2016-07-28 03:16:38,645,cnn_mnist_test_acc_2_2_2,43520,0.097656,0.11523,0.10791,0.0359,2,2,2
2016-07-28 03:16:38,650,cnn_mnist_test_acc_2_2_4,51200,0.101562,0.10352,0.11621,0.033,2,2,4
2016-07-28 03:16:38,652,cnn_mnist_test_acc_2_2_16,43520,0.101562,0.09961,0.10156,0.0385,2,2,16
2016-07-28 03:16:38,662,cnn_mnist_test_acc_2_2_8,43520,0.058594,0.08398,0.10156,0.0358,2,2,8
2016-07-28 03:16:38,681,cnn_mnist_test_acc_2_2_2,44800,0.097656,0.11523,0.10938,0.0364,2,2,2
2016-07-28 03:16:38,685,cnn_mnist_test_acc_2_2_4,52480,0.101562,0.10156,0.11572,0.0352,2,2,4
2016-07-28 03:16:38,690,cnn_mnist_test_acc_2_2_16,44800,0.105469,0.09961,0.10205,0.0373,2,2,16
2016-07-28 03:16:38,699,cnn_mnist_test_acc_2_2_8,44800,0.058594,0.08203,0.10059,0.0367,2,2,8
2016-07-28 03:16:38,717,cnn_mnist_test_acc_2_2_2,46080,0.097656,0.11523,0.10938,0.0359,2,2,2
2016-07-28 03:16:38,724,cnn_mnist_test_acc_2_2_4,53760,0.101562,0.10156,0.11475,0.0382,2,2,4
2016-07-28 03:16:38,727,cnn_mnist_test_acc_2_2_16,46080,0.109375,0.09961,0.10205,0.0373,2,2,16
2016-07-28 03:16:38,736,cnn_mnist_test_acc_2_2_8,46080,0.058594,0.08203,0.10107,0.0374,2,2,8
2016-07-28 03:16:38,751,cnn_mnist_test_acc_2_2_2,47360,0.097656,0.11523,0.10938,0.0339,2,2,2
2016-07-28 03:16:38,764,cnn_mnist_test_acc_2_2_16,47360,0.113281,0.10352,0.10449,0.0368,2,2,16
2016-07-28 03:16:38,774,cnn_mnist_test_acc_2_2_8,47360,0.058594,0.08203,0.10010,0.0379,2,2,8
2016-07-28 03:16:38,788,cnn_mnist_test_acc_2_2_2,48640,0.097656,0.11523,0.10938,0.0359,2,2,2
2016-07-28 03:16:38,799,cnn_mnist_test_acc_2_2_4,55040,0.101562,0.10156,0.11426,0.0752,2,2,4
2016-07-28 03:16:38,803,cnn_mnist_test_acc_2_2_16,48640,0.109375,0.09961,0.10352,0.0387,2,2,16
2016-07-28 03:16:38,811,cnn_mnist_test_acc_2_2_8,48640,0.058594,0.08203,0.09961,0.0367,2,2,8
2016-07-28 03:16:38,823,cnn_mnist_test_acc_2_2_2,49920,0.097656,0.11523,0.10938,0.0354,2,2,2
2016-07-28 03:16:38,833,cnn_mnist_test_acc_2_2_4,56320,0.101562,0.10156,0.11328,0.034,2,2,4
2016-07-28 03:16:38,840,cnn_mnist_test_acc_2_2_16,49920,0.109375,0.10352,0.10645,0.0367,2,2,16
2016-07-28 03:16:38,846,cnn_mnist_test_acc_2_2_8,49920,0.054688,0.08008,0.09912,0.0343,2,2,8
2016-07-28 03:16:38,858,cnn_mnist_test_acc_2_2_2,51200,0.097656,0.11523,0.10986,0.0348,2,2,2
2016-07-28 03:16:38,868,cnn_mnist_test_acc_2_2_4,57600,0.101562,0.10156,0.11230,0.0342,2,2,4
2016-07-28 03:16:38,877,cnn_mnist_test_acc_2_2_16,51200,0.109375,0.10547,0.10986,0.0373,2,2,16
2016-07-28 03:16:38,881,cnn_mnist_test_acc_2_2_8,51200,0.054688,0.08008,0.09814,0.0356,2,2,8
2016-07-28 03:16:38,897,cnn_mnist_test_acc_2_2_2,52480,0.097656,0.11328,0.10889,0.0381,2,2,2
2016-07-28 03:16:38,902,cnn_mnist_test_acc_2_2_4,58880,0.101562,0.10156,0.11133,0.0345,2,2,4
2016-07-28 03:16:38,915,cnn_mnist_test_acc_2_2_16,52480,0.109375,0.10742,0.11182,0.0372,2,2,16
2016-07-28 03:16:38,917,cnn_mnist_test_acc_2_2_8,52480,0.054688,0.07812,0.09717,0.0357,2,2,8
2016-07-28 03:16:38,935,cnn_mnist_test_acc_2_2_2,53760,0.097656,0.11328,0.10889,0.0381,2,2,2
2016-07-28 03:16:38,939,cnn_mnist_test_acc_2_2_4,60160,0.101562,0.09961,0.11133,0.0365,2,2,4
2016-07-28 03:16:38,953,cnn_mnist_test_acc_2_2_16,53760,0.101562,0.10547,0.11084,0.0384,2,2,16
2016-07-28 03:16:38,953,cnn_mnist_test_acc_2_2_8,53760,0.054688,0.07812,0.09717,0.0359,2,2,8
2016-07-28 03:16:38,974,cnn_mnist_test_acc_2_2_4,61440,0.101562,0.09961,0.11133,0.0343,2,2,4
2016-07-28 03:16:39,011,cnn_mnist_test_acc_2_2_4,62720,0.101562,0.09961,0.11084,0.0367,2,2,4
2016-07-28 03:16:39,014,cnn_mnist_test_acc_2_2_2,55040,0.097656,0.11328,0.10889,0.0792,2,2,2
2016-07-28 03:16:39,037,cnn_mnist_test_acc_2_2_8,55040,0.054688,0.07812,0.09668,0.0831,2,2,8
2016-07-28 03:16:39,039,cnn_mnist_test_acc_2_2_16,55040,0.113281,0.11328,0.11230,0.0855,2,2,16
2016-07-28 03:16:39,052,cnn_mnist_test_acc_2_2_4,64000,0.097656,0.09766,0.11035,0.0416,2,2,4
2016-07-28 03:16:39,059,cnn_mnist_test_acc_2_2_2,56320,0.097656,0.11328,0.10840,0.0443,2,2,2
2016-07-28 03:16:39,071,cnn_mnist_test_acc_2_2_8,56320,0.054688,0.07812,0.09717,0.0342,2,2,8
2016-07-28 03:16:39,076,cnn_mnist_test_acc_2_2_16,56320,0.121094,0.11719,0.11572,0.0364,2,2,16
2016-07-28 03:16:39,088,cnn_mnist_test_acc_2_2_4,65280,0.093750,0.09570,0.10986,0.0358,2,2,4
2016-07-28 03:16:39,092,cnn_mnist_test_acc_2_2_2,57600,0.097656,0.11328,0.10840,0.0336,2,2,2
2016-07-28 03:16:39,106,cnn_mnist_test_acc_2_2_8,57600,0.054688,0.07812,0.09619,0.0343,2,2,8
2016-07-28 03:16:39,113,cnn_mnist_test_acc_2_2_16,57600,0.121094,0.11914,0.11572,0.0368,2,2,16
2016-07-28 03:16:39,124,cnn_mnist_test_acc_2_2_4,66560,0.093750,0.09570,0.10986,0.035,2,2,4
2016-07-28 03:16:39,128,cnn_mnist_test_acc_2_2_2,58880,0.097656,0.11328,0.10840,0.035,2,2,2
2016-07-28 03:16:39,140,cnn_mnist_test_acc_2_2_8,58880,0.054688,0.07812,0.09570,0.0346,2,2,8
2016-07-28 03:16:39,151,cnn_mnist_test_acc_2_2_16,58880,0.121094,0.12305,0.11523,0.0377,2,2,16
2016-07-28 03:16:39,158,cnn_mnist_test_acc_2_2_4,67840,0.093750,0.09570,0.10938,0.0341,2,2,4
2016-07-28 03:16:39,165,cnn_mnist_test_acc_2_2_2,60160,0.097656,0.11328,0.10840,0.0367,2,2,2
2016-07-28 03:16:39,174,cnn_mnist_test_acc_2_2_8,60160,0.054688,0.07812,0.09521,0.0335,2,2,8
2016-07-28 03:16:39,188,cnn_mnist_test_acc_2_2_16,60160,0.121094,0.11719,0.11621,0.0376,2,2,16
2016-07-28 03:16:39,194,cnn_mnist_test_acc_2_2_4,69120,0.093750,0.09570,0.10889,0.0362,2,2,4
2016-07-28 03:16:39,200,cnn_mnist_test_acc_2_2_2,61440,0.093750,0.11133,0.10791,0.0352,2,2,2
2016-07-28 03:16:39,209,cnn_mnist_test_acc_2_2_8,61440,0.054688,0.07812,0.09521,0.0351,2,2,8
2016-07-28 03:16:39,227,cnn_mnist_test_acc_2_2_16,61440,0.125000,0.11914,0.11377,0.0383,2,2,16
2016-07-28 03:16:39,229,cnn_mnist_test_acc_2_2_4,70400,0.093750,0.09570,0.10889,0.0344,2,2,4
2016-07-28 03:16:39,234,cnn_mnist_test_acc_2_2_2,62720,0.093750,0.11133,0.10791,0.0334,2,2,2
2016-07-28 03:16:39,245,cnn_mnist_test_acc_2_2_8,62720,0.054688,0.07812,0.09521,0.035,2,2,8
2016-07-28 03:16:39,263,cnn_mnist_test_acc_2_2_16,62720,0.128906,0.12109,0.11377,0.0359,2,2,16
2016-07-28 03:16:39,265,cnn_mnist_test_acc_2_2_4,71680,0.093750,0.09570,0.10889,0.0357,2,2,4
2016-07-28 03:16:39,268,cnn_mnist_test_acc_2_2_2,64000,0.093750,0.11133,0.10791,0.0347,2,2,2
2016-07-28 03:16:39,282,cnn_mnist_test_acc_2_2_8,64000,0.054688,0.07812,0.09473,0.0369,2,2,8
2016-07-28 03:16:39,299,cnn_mnist_test_acc_2_2_4,72960,0.093750,0.09570,0.10889,0.0343,2,2,4
2016-07-28 03:16:39,299,cnn_mnist_test_acc_2_2_16,64000,0.125000,0.11328,0.11523,0.0364,2,2,16
2016-07-28 03:16:39,305,cnn_mnist_test_acc_2_2_2,65280,0.093750,0.11133,0.10791,0.0363,2,2,2
2016-07-28 03:16:39,317,cnn_mnist_test_acc_2_2_8,65280,0.054688,0.07812,0.09473,0.0355,2,2,8
2016-07-28 03:16:39,334,cnn_mnist_test_acc_2_2_4,74240,0.093750,0.09570,0.10889,0.0348,2,2,4
2016-07-28 03:16:39,337,cnn_mnist_test_acc_2_2_16,65280,0.121094,0.11133,0.11523,0.0372,2,2,16
2016-07-28 03:16:39,339,cnn_mnist_test_acc_2_2_2,66560,0.093750,0.11133,0.10791,0.0343,2,2,2
2016-07-28 03:16:39,352,cnn_mnist_test_acc_2_2_8,66560,0.054688,0.07812,0.09473,0.0346,2,2,8
2016-07-28 03:16:39,368,cnn_mnist_test_acc_2_2_4,75520,0.093750,0.09570,0.10889,0.0339,2,2,4
2016-07-28 03:16:39,374,cnn_mnist_test_acc_2_2_16,66560,0.117188,0.10938,0.11621,0.0367,2,2,16
2016-07-28 03:16:39,374,cnn_mnist_test_acc_2_2_2,67840,0.093750,0.11133,0.10791,0.0344,2,2,2
2016-07-28 03:16:39,386,cnn_mnist_test_acc_2_2_8,67840,0.054688,0.07812,0.09473,0.0338,2,2,8
2016-07-28 03:16:39,403,cnn_mnist_test_acc_2_2_4,76800,0.093750,0.09570,0.10889,0.0343,2,2,4
