layer,L1,L2,L3,slope1,slope2,1280 acc,102400 acc,200000 test acc,neurons,avg. iteration time
2 conv + 1 fully,2,2,2,0,0,0.14062,0.08594,0.136719,6,0.004445128
2 conv + 1 fully,2,2,4,0,1,0.07031,0.13281,0.0546875,8,0.002423718
2 conv + 1 fully,2,2,8,0,2,0.09375,0.07812,0.0859375,12,0.002505064
2 conv + 1 fully,2,2,16,0,3,0.10938,0.11719,0.109375,20,0.002588846
2 conv + 1 fully,2,2,32,0,4,0.20312,0.17188,0.0898438,36,0.002656795
2 conv + 1 fully,2,2,64,0,5,0.11719,0.17188,0.109375,68,0.004470128
2 conv + 1 fully,2,2,128,0,6,0.13281,0.32812,0.289062,132,0.002598718
2 conv + 1 fully,2,2,256,0,7,0.11719,0.21875,0.207031,260,0.004427949
2 conv + 1 fully,2,2,512,0,8,0.10938,0.17969,0.0742188,516,0.002646859
2 conv + 1 fully,2,2,1024,0,9,0.07812,0.875,0.847656,1028,0.004857051
2 conv + 1 fully,2,4,2,1,-1,0.04688,0.10156,0.121094,8,0.004562372
2 conv + 1 fully,2,4,4,1,0,0.15625,0.16406,0.0898438,10,0.00256891
2 conv + 1 fully,2,4,8,1,1,0.08594,0.17969,0.0546875,14,0.00259109
2 conv + 1 fully,2,4,16,1,2,0.08594,0.17188,0.0859375,22,0.002657628
2 conv + 1 fully,2,4,32,1,3,0.08594,0.10938,0.136719,38,0.0026675
2 conv + 1 fully,2,4,64,1,4,0.10938,0.52344,0.355469,70,0.004659551
2 conv + 1 fully,2,4,128,1,5,0.03906,0.60156,0.503906,134,0.002845064
2 conv + 1 fully,2,4,256,1,6,0.10938,0.80469,0.804688,262,0.004565833
2 conv + 1 fully,2,4,512,1,7,0.0625,0.84375,0.902344,518,0.002885
2 conv + 1 fully,2,4,1024,1,8,0.08594,0.78906,0.863281,1030,0.004907436
2 conv + 1 fully,2,8,2,2,-2,0.09375,0.10156,0.109375,12,0.004541154
2 conv + 1 fully,2,8,4,2,-1,0.10156,0.11719,0.121094,14,0.002720321
2 conv + 1 fully,2,8,8,2,0,0.08594,0.09375,0.09375,18,0.002726538
2 conv + 1 fully,2,8,16,2,1,0.07812,0.0625,0.0742188,26,0.002773269
2 conv + 1 fully,2,8,32,2,2,0.07812,0.07031,0.136719,42,0.002829231
2 conv + 1 fully,2,8,64,2,3,0.10938,0.125,0.0742188,74,0.004879551
2 conv + 1 fully,2,8,128,2,4,0.13281,0.45312,0.207031,138,0.002809103
2 conv + 1 fully,2,8,256,2,5,0.03125,0.85156,0.917969,266,0.004717628
2 conv + 1 fully,2,8,512,2,6,0.11719,0.8125,0.902344,522,0.002960513
2 conv + 1 fully,2,8,1024,2,7,0.13281,0.92188,0.964844,1034,0.005306218
2 conv + 1 fully,2,16,2,3,-3,0.07812,0.0625,0.121094,20,0.004812179
2 conv + 1 fully,2,16,4,3,-2,0.10938,0.08594,0.132812,22,0.003003846
2 conv + 1 fully,2,16,8,3,-1,0.0625,0.08594,0.09375,26,0.002995385
2 conv + 1 fully,2,16,16,3,0,0.03906,0.14062,0.136719,34,0.003085513
2 conv + 1 fully,2,16,32,3,1,0.125,0.09375,0.132812,50,0.003003846
2 conv + 1 fully,2,16,64,3,2,0.07812,0.21094,0.132812,82,0.004955192
2 conv + 1 fully,2,16,128,3,3,0.02344,0.35156,0.160156,146,0.003206795
2 conv + 1 fully,2,16,256,3,4,0.10938,0.89844,0.921875,274,0.005141026
2 conv + 1 fully,2,16,512,3,5,0.10938,0.90625,0.941406,530,0.003489423
2 conv + 1 fully,2,16,1024,3,6,0.15625,0.92188,0.949219,1042,0.005753654
2 conv + 1 fully,2,32,2,4,-4,0.04688,0.10938,0.0742188,36,0.005659679
2 conv + 1 fully,2,32,4,4,-3,0.10938,0.14844,0.0859375,38,0.003644038
2 conv + 1 fully,2,32,8,4,-2,0.07031,0.10938,0.121094,42,0.003670897
2 conv + 1 fully,2,32,16,4,-1,0.21875,0.10938,0.136719,50,0.003677756
2 conv + 1 fully,2,32,32,4,0,0.14062,0.09375,0.0585938,66,0.003713462
2 conv + 1 fully,2,32,64,4,1,0.10156,0.24219,0.25,98,0.005609615
2 conv + 1 fully,2,32,128,4,2,0.0625,0.625,0.316406,162,0.003833013
2 conv + 1 fully,2,32,256,4,3,0.07812,0.85156,0.273438,290,0.005843269
2 conv + 1 fully,2,32,512,4,4,0.13281,0.9375,0.941406,546,0.004155641
2 conv + 1 fully,2,32,1024,4,5,0.16406,0.92188,0.953125,1058,0.006412692
2 conv + 1 fully,2,64,2,5,-5,0.04688,0.10938,0.101562,68,0.006552115
2 conv + 1 fully,2,64,4,5,-4,0.07812,0.10156,0.101562,70,0.004715128
2 conv + 1 fully,2,64,8,5,-3,0.20312,0.0625,0.136719,74,0.004735833
2 conv + 1 fully,2,64,16,5,-2,0.13281,0.05469,0.121094,82,0.004757692
2 conv + 1 fully,2,64,32,5,-1,0.10156,0.09375,0.121094,98,0.00481
2 conv + 1 fully,2,64,64,5,0,0.03906,0.07812,0.191406,130,0.006666603
2 conv + 1 fully,2,64,128,5,1,0.13281,0.50781,0.261719,194,0.004962436
2 conv + 1 fully,2,64,256,5,2,0.125,0.85938,0.574219,322,0.006924295
2 conv + 1 fully,2,64,512,5,3,0.14062,0.89062,0.894531,578,0.005455449
2 conv + 1 fully,2,64,1024,5,4,0.13281,0.94531,0.976562,1090,0.007880962
2 conv + 1 fully,2,128,2,6,-6,0.10938,0.09375,0.136719,132,0.007872692
2 conv + 1 fully,2,128,4,6,-5,0.125,0.07031,0.0742188,134,0.005974231
2 conv + 1 fully,2,128,8,6,-4,0.08594,0.11719,0.132812,138,0.005966987
2 conv + 1 fully,2,128,16,6,-3,0.14844,0.11719,0.101562,146,0.006016795
2 conv + 1 fully,2,128,32,6,-2,0.15625,0.11719,0.132812,162,0.006141474
2 conv + 1 fully,2,128,64,6,-1,0.1875,0.10156,0.167969,194,0.008127564
2 conv + 1 fully,2,128,128,6,0,0.17969,0.04688,0.101562,258,0.006463526
2 conv + 1 fully,2,128,256,6,1,0.19531,0.51562,0.285156,386,0.008813013
2 conv + 1 fully,2,128,512,6,2,0.32031,0.90625,0.910156,642,0.00774609
2 conv + 1 fully,2,128,1024,6,3,0.375,0.91406,0.933594,1154,0.011007628
2 conv + 1 fully,2,256,2,7,-7,0.10156,0.10938,0.0742188,260,0.010560064
2 conv + 1 fully,2,256,4,7,-6,0.11719,0.10938,0.0742188,262,0.008723013
2 conv + 1 fully,2,256,8,7,-5,0.13281,0.14062,0.121094,266,0.008721218
2 conv + 1 fully,2,256,16,7,-4,0.15625,0.13281,0.0859375,274,0.008906603
2 conv + 1 fully,2,256,32,7,-3,0.125,0.14844,0.121094,290,0.008958846
2 conv + 1 fully,2,256,64,7,-2,0.17188,0.15625,0.0703125,322,0.010986538
2 conv + 1 fully,2,256,128,7,-1,0.27344,0.17969,0.203125,386,0.009616923
2 conv + 1 fully,2,256,256,7,0,0.15625,0.33594,0.261719,514,0.012323846
2 conv + 1 fully,2,256,512,7,1,0.14062,0.07031,0.101562,770,0.011862821
2 conv + 1 fully,2,256,1024,7,2,0.53906,0.94531,0.929688,1282,0.016837821
2 conv + 1 fully,2,512,2,8,-8,0.04688,0.10938,0.0742188,516,0.015845513
2 conv + 1 fully,2,512,4,8,-7,0.07031,0.07031,0.132812,518,0.014097436
2 conv + 1 fully,2,512,8,8,-6,0.11719,0.11719,0.136719,522,0.014248077
2 conv + 1 fully,2,512,16,8,-5,0.17969,0.10938,0.09375,530,0.014297436
2 conv + 1 fully,2,512,32,8,-4,0.08594,0.13281,0.0546875,546,0.014435256
2 conv + 1 fully,2,512,64,8,-3,0.1875,0.14062,0.136719,578,0.016625641
2 conv + 1 fully,2,512,128,8,-2,0.15625,0.14844,0.144531,642,0.015492949
2 conv + 1 fully,2,512,256,8,-1,0.39844,0.35156,0.261719,770,0.018941026
2 conv + 1 fully,2,512,512,8,0,0.42969,0.90625,0.53125,1026,0.020115385
2 conv + 1 fully,2,512,1024,8,1,0.69531,0.92188,0.96875,1538,0.027851282
2 conv + 1 fully,2,1024,2,9,-9,0.10156,0.08594,0.09375,1028,0.026549359
2 conv + 1 fully,2,1024,4,9,-8,0.10156,0.07812,0.136719,1030,0.025042949
2 conv + 1 fully,2,1024,8,9,-7,0.13281,0.11719,0.0546875,1034,0.025075
2 conv + 1 fully,2,1024,16,9,-6,0.16406,0.0625,0.132812,1042,0.025237821
2 conv + 1 fully,2,1024,32,9,-5,0.20312,0.11719,0.117188,1058,0.025333974
2 conv + 1 fully,2,1024,64,9,-4,0.27344,0.11719,0.136719,1090,0.027719231
2 conv + 1 fully,2,1024,128,9,-3,0.40625,0.13281,0.171875,1154,0.027016026
2 conv + 1 fully,2,1024,256,9,-2,0.40625,0.08594,0.164062,1282,0.032276282
2 conv + 1 fully,2,1024,512,9,-1,0.36719,0.34375,0.25,1538,0.036483333
2 conv + 1 fully,2,1024,1024,9,0,0.60156,0.89844,0.933594,2050,0.051137821
2 conv + 1 fully,4,2,2,-1,0,0.09375,0.07031,0.132812,8,0.005684038
2 conv + 1 fully,4,2,4,-1,1,0.09375,0.08594,0.0742188,10,0.003900449
2 conv + 1 fully,4,2,8,-1,2,0.09375,0.14062,0.128906,14,0.003933397
2 conv + 1 fully,4,2,16,-1,3,0.07812,0.14844,0.121094,22,0.003955256
2 conv + 1 fully,4,2,32,-1,4,0.05469,0.16406,0.144531,38,0.003983718
2 conv + 1 fully,4,2,64,-1,5,0.125,0.11719,0.125,70,0.005812756
2 conv + 1 fully,4,2,128,-1,6,0.0625,0.10156,0.0898438,134,0.004017244
2 conv + 1 fully,4,2,256,-1,7,0.05469,0.27344,0.222656,262,0.005907885
2 conv + 1 fully,4,2,512,-1,8,0.125,0.25,0.121094,518,0.004169167
2 conv + 1 fully,4,2,1024,-1,9,0.07031,0.88281,0.925781,1030,0.006429038
2 conv + 1 fully,4,4,2,0,-1,0.10156,0.07031,0.0546875,10,0.005956731
2 conv + 1 fully,4,4,4,0,0,0.21875,0.07812,0.125,12,0.004094936
2 conv + 1 fully,4,4,8,0,1,0.15625,0.09375,0.109375,16,0.00413359
2 conv + 1 fully,4,4,16,0,2,0.10156,0.0625,0.125,24,0.004227885
2 conv + 1 fully,4,4,32,0,3,0.03125,0.14062,0.0898438,40,0.004241795
2 conv + 1 fully,4,4,64,0,4,0.08594,0.29688,0.3125,72,0.006148141
2 conv + 1 fully,4,4,128,0,5,0.125,0.36719,0.148438,136,0.004295321
2 conv + 1 fully,4,4,256,0,6,0.16406,0.76562,0.867188,264,0.006338397
2 conv + 1 fully,4,4,512,0,7,0.14844,0.875,0.890625,520,0.004492051
2 conv + 1 fully,4,4,1024,0,8,0.14062,0.82812,0.898438,1032,0.006681474
2 conv + 1 fully,4,8,2,1,-2,0.10156,0.09375,0.0859375,14,0.006254359
2 conv + 1 fully,4,8,4,1,-1,0.09375,0.10938,0.0898438,16,0.004479038
2 conv + 1 fully,4,8,8,1,0,0.03125,0.08594,0.121094,20,0.004508974
2 conv + 1 fully,4,8,16,1,1,0.14062,0.10156,0.0546875,28,0.00453359
2 conv + 1 fully,4,8,32,1,2,0.15625,0.17188,0.152344,44,0.004598462
2 conv + 1 fully,4,8,64,1,3,0.03906,0.1875,0.148438,76,0.006775833
2 conv + 1 fully,4,8,128,1,4,0.11719,0.16406,0.109375,140,0.004670064
2 conv + 1 fully,4,8,256,1,5,0.17188,0.89062,0.84375,268,0.00665109
2 conv + 1 fully,4,8,512,1,6,0.15625,0.88281,0.960938,524,0.004876538
2 conv + 1 fully,4,8,1024,1,7,0.1875,0.89844,0.949219,1036,0.007011026
2 conv + 1 fully,4,16,2,2,-3,0.10156,0.10156,0.09375,22,0.006741154
2 conv + 1 fully,4,16,4,2,-2,0.05469,0.05469,0.136719,24,0.004896667
2 conv + 1 fully,4,16,8,2,-1,0.0625,0.09375,0.09375,28,0.004951282
2 conv + 1 fully,4,16,16,2,0,0.15625,0.11719,0.0546875,36,0.005002564
2 conv + 1 fully,4,16,32,2,1,0.07812,0.07031,0.0859375,52,0.005040962
2 conv + 1 fully,4,16,64,2,2,0.07812,0.10938,0.0820312,84,0.00757359
2 conv + 1 fully,4,16,128,2,3,0.0625,0.41406,0.21875,148,0.005151795
2 conv + 1 fully,4,16,256,2,4,0.14062,0.77344,0.160156,276,0.007112885
2 conv + 1 fully,4,16,512,2,5,0.08594,0.92188,0.96875,532,0.005362885
2 conv + 1 fully,4,16,1024,2,6,0.26562,0.94531,0.964844,1044,0.007712115
2 conv + 1 fully,4,32,2,3,-4,0.10156,0.0625,0.121094,38,0.007526731
2 conv + 1 fully,4,32,4,3,-3,0.10156,0.08594,0.09375,40,0.005751282
2 conv + 1 fully,4,32,8,3,-2,0.10938,0.10938,0.140625,44,0.00572641
2 conv + 1 fully,4,32,16,3,-1,0.11719,0.04688,0.09375,52,0.005719295
2 conv + 1 fully,4,32,32,3,0,0.11719,0.11719,0.140625,68,0.005749103
2 conv + 1 fully,4,32,64,3,1,0.05469,0.14062,0.117188,100,0.007802885
2 conv + 1 fully,4,32,128,3,2,0.08594,0.22656,0.128906,164,0.005978782
2 conv + 1 fully,4,32,256,3,3,0.11719,0.84375,0.175781,292,0.007894551
2 conv + 1 fully,4,32,512,3,4,0.15625,0.875,0.894531,548,0.006175064
2 conv + 1 fully,4,32,1024,3,5,0.19531,0.9375,0.96875,1060,0.008624551
2 conv + 1 fully,4,64,2,4,-5,0.125,0.08594,0.121094,70,0.008853846
2 conv + 1 fully,4,64,4,4,-4,0.11719,0.11719,0.109375,72,0.006973782
2 conv + 1 fully,4,64,8,4,-3,0.10938,0.14062,0.121094,76,0.007054808
2 conv + 1 fully,4,64,16,4,-2,0.14062,0.07812,0.121094,84,0.007104103
2 conv + 1 fully,4,64,32,4,-1,0.16406,0.11719,0.132812,100,0.007163718
2 conv + 1 fully,4,64,64,4,0,0.25781,0.13281,0.140625,132,0.009074295
2 conv + 1 fully,4,64,128,4,1,0.19531,0.17969,0.25,196,0.007257756
2 conv + 1 fully,4,64,256,4,2,0.21875,0.83594,0.257812,324,0.009255513
2 conv + 1 fully,4,64,512,4,3,0.13281,0.89062,0.910156,580,0.007707372
2 conv + 1 fully,4,64,1024,4,4,0.27344,0.91406,0.960938,1092,0.010361474
2 conv + 1 fully,4,128,2,5,-6,0.07031,0.07812,0.0742188,134,0.012434295
2 conv + 1 fully,4,128,4,5,-5,0.07031,0.125,0.136719,136,0.008308974
2 conv + 1 fully,4,128,8,5,-4,0.10938,0.04688,0.132812,140,0.008384808
2 conv + 1 fully,4,128,16,5,-3,0.0625,0.09375,0.078125,148,0.008341603
2 conv + 1 fully,4,128,32,5,-2,0.09375,0.125,0.113281,164,0.008523974
2 conv + 1 fully,4,128,64,5,-1,0.17188,0.14062,0.0546875,196,0.017105385
2 conv + 1 fully,4,128,128,5,0,0.27344,0.38281,0.273438,260,0.008849231
2 conv + 1 fully,4,128,256,5,1,0.20312,0.90625,0.5,388,0.01793109
2 conv + 1 fully,4,128,512,5,2,0.1875,0.85156,0.621094,644,0.010228526
2 conv + 1 fully,4,128,1024,5,3,0.32812,0.98438,0.972656,1156,0.020402308
2 conv + 1 fully,4,256,2,6,-7,0.13281,0.10156,0.0742188,262,0.013290833
2 conv + 1 fully,4,256,4,6,-6,0.09375,0.15625,0.109375,264,0.01140641
2 conv + 1 fully,4,256,8,6,-5,0.07812,0.11719,0.09375,268,0.011450577
2 conv + 1 fully,4,256,16,6,-4,0.03125,0.09375,0.0859375,276,0.011634038
2 conv + 1 fully,4,256,32,6,-3,0.10938,0.09375,0.132812,292,0.011847628
2 conv + 1 fully,4,256,64,6,-2,0.16406,0.17188,0.113281,324,0.014097756
2 conv + 1 fully,4,256,128,6,-1,0.21094,0.14844,0.101562,388,0.012428013
2 conv + 1 fully,4,256,256,6,0,0.22656,0.75781,0.449219,516,0.015485577
2 conv + 1 fully,4,256,512,6,1,0.30469,0.76562,0.277344,772,0.014770513
2 conv + 1 fully,4,256,1024,6,2,0.48438,0.92969,0.972656,1284,0.020039744
2 conv + 1 fully,4,512,2,7,-8,0.10156,0.10156,0.121094,518,0.019405769
2 conv + 1 fully,4,512,4,7,-7,0.13281,0.10938,0.136719,520,0.017328205
2 conv + 1 fully,4,512,8,7,-6,0.08594,0.125,0.136719,524,0.017601282
2 conv + 1 fully,4,512,16,7,-5,0.125,0.08594,0.09375,532,0.017697436
2 conv + 1 fully,4,512,32,7,-4,0.0625,0.07812,0.136719,548,0.017699359
2 conv + 1 fully,4,512,64,7,-3,0.22656,0.10156,0.113281,580,0.020794872
2 conv + 1 fully,4,512,128,7,-2,0.28906,0.14844,0.125,644,0.018867308
2 conv + 1 fully,4,512,256,7,-1,0.1875,0.25,0.144531,772,0.042376923
2 conv + 1 fully,4,512,512,7,0,0.46094,0.92188,0.492188,1028,0.023557692
2 conv + 1 fully,4,512,1024,7,1,0.64062,0.98438,0.964844,1540,0.07965
2 conv + 1 fully,4,1024,2,8,-9,0.07812,0.14844,0.0898438,1030,0.104744231
2 conv + 1 fully,4,1024,4,8,-8,0.07812,0.13281,0.0742188,1032,0.028364103
2 conv + 1 fully,4,1024,8,8,-7,0.16406,0.07031,0.0742188,1036,0.028380769
2 conv + 1 fully,4,1024,16,8,-6,0.17969,0.10938,0.113281,1044,0.028605128
2 conv + 1 fully,4,1024,32,8,-5,0.17188,0.08594,0.136719,1060,0.028685256
2 conv + 1 fully,4,1024,64,8,-4,0.28125,0.07812,0.078125,1092,0.112396795
2 conv + 1 fully,4,1024,128,8,-3,0.41406,0.17188,0.179688,1156,0.030295513
2 conv + 1 fully,4,1024,256,8,-2,0.53906,0.36719,0.25,1284,0.085132692
2 conv + 1 fully,4,1024,512,8,-1,0.5,0.52344,0.257812,1540,0.039783333
2 conv + 1 fully,4,1024,1024,8,0,0.47656,0.89062,0.367188,2052,0.088787821
2 conv + 1 fully,8,2,2,-2,0,0.14062,0.10938,0.0546875,12,0.054027564
2 conv + 1 fully,8,2,4,-2,1,0.07812,0.08594,0.0546875,14,0.007131987
2 conv + 1 fully,8,2,8,-2,2,0.07812,0.08594,0.0546875,18,0.007157564
2 conv + 1 fully,8,2,16,-2,3,0.10156,0.08594,0.113281,26,0.007246026
2 conv + 1 fully,8,2,32,-2,4,0.10938,0.10156,0.132812,42,0.007289615
2 conv + 1 fully,8,2,64,-2,5,0.13281,0.1875,0.164062,74,0.047492949
2 conv + 1 fully,8,2,128,-2,6,0.07031,0.125,0.136719,138,0.007287564
2 conv + 1 fully,8,2,256,-2,7,0.0625,0.15625,0.0898438,266,0.048436538
2 conv + 1 fully,8,2,512,-2,8,0.09375,0.13281,0.101562,522,0.007425833
2 conv + 1 fully,8,2,1024,-2,9,0.16406,0.4375,0.234375,1034,0.052144808
2 conv + 1 fully,8,4,2,-1,-1,0.10156,0.07031,0.0859375,14,0.085108462
2 conv + 1 fully,8,4,4,-1,0,0.10156,0.08594,0.121094,16,0.007515962
2 conv + 1 fully,8,4,8,-1,1,0.07031,0.08594,0.136719,20,0.007590833
2 conv + 1 fully,8,4,16,-1,2,0.10938,0.09375,0.136719,28,0.007695064
2 conv + 1 fully,8,4,32,-1,3,0.15625,0.10156,0.0546875,44,0.007661795
2 conv + 1 fully,8,4,64,-1,4,0.11719,0.26562,0.121094,76,0.136019167
2 conv + 1 fully,8,4,128,-1,5,0.10156,0.52344,0.558594,140,0.007828205
2 conv + 1 fully,8,4,256,-1,6,0.09375,0.83594,0.890625,268,0.130263269
2 conv + 1 fully,8,4,512,-1,7,0.07031,0.84375,0.917969,524,0.007976667
2 conv + 1 fully,8,4,1024,-1,8,0.19531,0.84375,0.609375,1036,0.133217885
2 conv + 1 fully,8,8,2,0,-2,0.08594,0.09375,0.0898438,18,0.053602179
2 conv + 1 fully,8,8,4,0,-1,0.11719,0.10938,0.0859375,20,0.008092115
2 conv + 1 fully,8,8,8,0,0,0.10156,0.07812,0.132812,24,0.008180192
2 conv + 1 fully,8,8,16,0,1,0.07031,0.09375,0.0898438,32,0.008221987
2 conv + 1 fully,8,8,32,0,2,0.07031,0.10156,0.113281,48,0.008234487
2 conv + 1 fully,8,8,64,0,3,0.10156,0.125,0.140625,80,0.126931218
2 conv + 1 fully,8,8,128,0,4,0.09375,0.79688,0.714844,144,0.008389167
2 conv + 1 fully,8,8,256,0,5,0.21094,0.9375,0.902344,272,0.125226282
2 conv + 1 fully,8,8,512,0,6,0.10156,0.89844,0.945312,528,0.008715897
2 conv + 1 fully,8,8,1024,0,7,0.08594,0.91406,0.941406,1040,0.123634872
2 conv + 1 fully,8,16,2,1,-3,0.07812,0.09375,0.0898438,26,0.099794936
2 conv + 1 fully,8,16,4,1,-2,0.10156,0.11719,0.0859375,28,0.008798462
2 conv + 1 fully,8,16,8,1,-1,0.14062,0.10938,0.0898438,32,0.00875
2 conv + 1 fully,8,16,16,1,0,0.09375,0.08594,0.09375,40,0.0089375
2 conv + 1 fully,8,16,32,1,1,0.03906,0.07812,0.113281,56,0.008881987
2 conv + 1 fully,8,16,64,1,2,0.11719,0.20312,0.136719,88,0.103083974
2 conv + 1 fully,8,16,128,1,3,0.14062,0.15625,0.0898438,152,0.009156603
2 conv + 1 fully,8,16,256,1,4,0.13281,0.85156,0.46875,280,0.115658654
2 conv + 1 fully,8,16,512,1,5,0.19531,0.92188,0.960938,536,0.009326346
2 conv + 1 fully,8,16,1024,1,6,0.16406,0.96875,0.960938,1048,0.117410449
2 conv + 1 fully,8,32,2,2,-4,0.14844,0.14062,0.125,42,0.102051538
2 conv + 1 fully,8,32,4,2,-3,0.13281,0.0625,0.0859375,44,0.009799615
2 conv + 1 fully,8,32,8,2,-2,0.07031,0.07031,0.09375,48,0.009758846
2 conv + 1 fully,8,32,16,2,-1,0.13281,0.125,0.113281,56,0.009940897
2 conv + 1 fully,8,32,32,2,0,0.08594,0.17969,0.144531,72,0.010195833
2 conv + 1 fully,8,32,64,2,1,0.10938,0.15625,0.136719,104,0.114713141
2 conv + 1 fully,8,32,128,2,2,0.10156,0.13281,0.160156,168,0.010211859
2 conv + 1 fully,8,32,256,2,3,0.07812,0.86719,0.894531,296,0.110261538
2 conv + 1 fully,8,32,512,2,4,0.20312,0.94531,0.976562,552,0.010682244
2 conv + 1 fully,8,32,1024,2,5,0.10938,0.92969,0.960938,1064,0.107812051
2 conv + 1 fully,8,64,2,3,-5,0.125,0.0625,0.132812,74,0.10119359
2 conv + 1 fully,8,64,4,3,-4,0.11719,0.09375,0.0898438,76,0.011521282
2 conv + 1 fully,8,64,8,3,-3,0.0625,0.07031,0.136719,80,0.011687756
2 conv + 1 fully,8,64,16,3,-2,0.125,0.09375,0.136719,88,0.011671859
2 conv + 1 fully,8,64,32,3,-1,0.125,0.10938,0.09375,104,0.011686859
2 conv + 1 fully,8,64,64,3,0,0.09375,0.08594,0.140625,136,0.04252609
2 conv + 1 fully,8,64,128,3,1,0.13281,0.21094,0.167969,200,0.01197891
2 conv + 1 fully,8,64,256,3,2,0.32031,0.64844,0.199219,328,0.035600321
2 conv + 1 fully,8,64,512,3,3,0.14062,0.95312,0.972656,584,0.012407949
2 conv + 1 fully,8,64,1024,3,4,0.28125,0.96875,0.984375,1096,0.099241154
2 conv + 1 fully,8,128,2,4,-6,0.14062,0.125,0.136719,138,0.036793718
2 conv + 1 fully,8,128,4,4,-5,0.10156,0.14844,0.0898438,140,0.013077179
2 conv + 1 fully,8,128,8,4,-4,0.08594,0.05469,0.0898438,144,0.013276154
2 conv + 1 fully,8,128,16,4,-3,0.07812,0.09375,0.136719,152,0.0132975
2 conv + 1 fully,8,128,32,4,-2,0.11719,0.15625,0.109375,168,0.013434487
2 conv + 1 fully,8,128,64,4,-1,0.14062,0.08594,0.140625,200,0.028410897
2 conv + 1 fully,8,128,128,4,0,0.125,0.10156,0.179688,264,0.013642564
2 conv + 1 fully,8,128,256,4,1,0.1875,0.4375,0.226562,392,0.089734295
2 conv + 1 fully,8,128,512,4,2,0.1875,0.96094,0.933594,648,0.016874295
2 conv + 1 fully,8,128,1024,4,3,0.36719,0.97656,0.960938,1160,0.065764295
2 conv + 1 fully,8,256,2,5,-7,0.13281,0.11719,0.136719,266,0.101088718
2 conv + 1 fully,8,256,4,5,-6,0.05469,0.10156,0.09375,268,0.01703391
2 conv + 1 fully,8,256,8,5,-5,0.08594,0.08594,0.136719,272,0.016948974
2 conv + 1 fully,8,256,16,5,-4,0.14844,0.14062,0.109375,280,0.017315192
2 conv + 1 fully,8,256,32,5,-3,0.17188,0.07031,0.09375,296,0.017235962
2 conv + 1 fully,8,256,64,5,-2,0.10156,0.07812,0.09375,328,0.07179109
2 conv + 1 fully,8,256,128,5,-1,0.36719,0.14062,0.101562,392,0.018753205
2 conv + 1 fully,8,256,256,5,0,0.15625,0.1875,0.238281,520,0.094069872
2 conv + 1 fully,8,256,512,5,1,0.30469,0.96875,0.792969,776,0.020822436
2 conv + 1 fully,8,256,1024,5,2,0.30469,0.97656,0.972656,1288,0.098667949
2 conv + 1 fully,8,512,2,6,-8,0.0625,0.08594,0.136719,522,0.066421795
2 conv + 1 fully,8,512,4,6,-7,0.10938,0.125,0.121094,524,0.024159615
2 conv + 1 fully,8,512,8,6,-6,0.05469,0.05469,0.09375,528,0.024230769
2 conv + 1 fully,8,512,16,6,-5,0.125,0.10156,0.0546875,536,0.024448718
2 conv + 1 fully,8,512,32,6,-4,0.14844,0.14062,0.125,552,0.024695513
2 conv + 1 fully,8,512,64,6,-3,0.14062,0.10156,0.078125,584,0.089558333
2 conv + 1 fully,8,512,128,6,-2,0.29688,0.21875,0.199219,648,0.025999359
2 conv + 1 fully,8,512,256,6,-1,0.36719,0.29688,0.164062,776,0.072341667
2 conv + 1 fully,8,512,512,6,0,0.44531,0.90625,0.894531,1032,0.030530769
2 conv + 1 fully,8,512,1024,6,1,0.57812,0.95312,0.945312,1544,0.029967949
2 conv + 1 fully,8,1024,2,7,-9,0.10938,0.125,0.101562,1034,0.031826282
2 conv + 1 fully,8,1024,4,7,-8,0.10156,0.16406,0.0859375,1036,0.032201282
2 conv + 1 fully,8,1024,8,7,-7,0.10156,0.11719,0.109375,1040,0.032282692
2 conv + 1 fully,8,1024,16,7,-6,0.10156,0.07031,0.109375,1048,0.03238141
2 conv + 1 fully,8,1024,32,7,-5,0.125,0.125,0.121094,1064,0.03254359
2 conv + 1 fully,8,1024,64,7,-4,0.23438,0.08594,0.136719,1096,0.032996154
2 conv + 1 fully,8,1024,128,7,-3,0.36719,0.14062,0.125,1160,0.034298718
2 conv + 1 fully,8,1024,256,7,-2,0.46094,0.16406,0.136719,1288,0.037567949
2 conv + 1 fully,8,1024,512,7,-1,0.5,0.39844,0.242188,1544,0.043896795
2 conv + 1 fully,8,1024,1024,7,0,0.46094,0.94531,0.9375,2056,0.052429487
2 conv + 1 fully,16,2,2,-3,0,0.13281,0.07812,0.0546875,20,0.005721218
2 conv + 1 fully,16,2,4,-3,1,0.08594,0.07812,0.121094,22,0.0038725
2 conv + 1 fully,16,2,8,-3,2,0.07031,0.09375,0.0546875,26,0.003864551
2 conv + 1 fully,16,2,16,-3,3,0.125,0.07031,0.0859375,34,0.003903462
2 conv + 1 fully,16,2,32,-3,4,0.10156,0.14062,0.078125,50,0.003898654
2 conv + 1 fully,16,2,64,-3,5,0.14844,0.125,0.0625,82,0.005760833
2 conv + 1 fully,16,2,128,-3,6,0.14844,0.20312,0.125,146,0.003919295
2 conv + 1 fully,16,2,256,-3,7,0.07031,0.14844,0.113281,274,0.005804487
2 conv + 1 fully,16,2,512,-3,8,0.125,0.11719,0.179688,530,0.003986603
2 conv + 1 fully,16,2,1024,-3,9,0.13281,0.16406,0.136719,1042,0.006090769
