2016-07-15 12:48,194, Tag Name,Iteration,Minibatch Loss,Traning Accuracy,Elapsed Time,Testing Accuracy
2016-07-14 18:03,830, cnn_net_2_2_2_2,157440,2.962853,0.10156,0.00238,
2016-07-14 18:03,847, cnn_net_2_2_2_2,158720,2.445826,0.10156,0.00242,
2016-07-14 18:03,864, cnn_net_2_2_2_2,160000,2.582462,0.08594,0.0024,
2016-07-14 18:03,882, cnn_net_2_2_2_2,161280,2.683625,0.10938,0.00248,
2016-07-14 18:03,900, cnn_net_2_2_2_2,162560,2.458191,0.11719,0.00241,
2016-07-14 18:03,917, cnn_net_2_2_2_2,163840,2.388059,0.13281,0.00249,
2016-07-14 18:03,222, cnn_net_2_2_2_2,165120,2.365608,0.125,0.0024,
2016-07-14 18:03,239, cnn_net_2_2_2_2,166400,2.498719,0.11719,0.0025,
2016-07-14 18:03,257, cnn_net_2_2_2_2,167680,2.354178,0.125,0.0024,
2016-07-14 18:03,274, cnn_net_2_2_2_2,168960,2.326063,0.10156,0.00228,
2016-07-14 18:03,291, cnn_net_2_2_2_2,170240,2.374281,0.14062,0.0024,
2016-07-14 18:03,309, cnn_net_2_2_2_2,171520,2.411018,0.09375,0.00343,
2016-07-14 18:03,327, cnn_net_2_2_2_2,172800,2.551613,0.10938,0.00236,
2016-07-14 18:03,344, cnn_net_2_2_2_2,174080,2.303358,0.09375,0.0024,
2016-07-14 18:03,361, cnn_net_2_2_2_2,175360,2.409932,0.10156,0.0024,
2016-07-14 18:03,378, cnn_net_2_2_2_2,176640,2.396347,0.11719,0.00228,
2016-07-14 18:03,396, cnn_net_2_2_2_2,177920,2.369574,0.11719,0.00241,
2016-07-14 18:03,413, cnn_net_2_2_2_2,179200,2.290211,0.10156,0.00236,
2016-07-14 18:03,431, cnn_net_2_2_2_2,180480,2.302779,0.14062,0.00255,
2016-07-14 18:03,449, cnn_net_2_2_2_2,181760,2.446737,0.14062,0.00262,
2016-07-14 18:03,466, cnn_net_2_2_2_2,183040,2.387566,0.09375,0.0026,
2016-07-14 18:03,484, cnn_net_2_2_2_2,184320,2.303061,0.11719,0.00234,
2016-07-14 18:03,501, cnn_net_2_2_2_2,185600,2.317286,0.07031,0.00238,
