,Date,msec,Setting,Step,Elapsed Time,Metric1,Metric2,Metric3,Param1,Param2,Param3,Param4,Best,Random Best 1,Random Best 2,Random Best 0,Random Best 3,Random Best 4,Random Best 5,Random Best 6,Random Best 7,Random Best 8,Random Best 9
46,2016-09-03 4:00,598,filter:2-conv1:1-conv2:16-fc:64-Momentum,1_epoch,0.242,91.9,,,2,1,16,64,93.0,97.33,97.67,98.13,97.84,98.05,97.7,97.68,97.91,97.64,97.31
47,2016-09-03 4:00,638,filter:2-conv1:1-conv2:16-fc:32-Momentum,1_epoch,0.279,89.72,,,2,1,16,32,93.0,97.33,97.67,98.13,97.84,98.05,97.7,97.71,97.91,97.64,97.31
48,2016-09-03 4:00,118,filter:2-conv1:1-conv2:32-fc:1-Momentum,1_epoch,0.152,25.72,,,2,1,32,1,93.0,97.33,97.67,98.13,97.84,98.05,97.7,97.71,97.91,97.64,97.31
49,2016-09-03 4:00,124,filter:2-conv1:1-conv2:16-fc:256-Momentum,1_epoch,0.154,93.85,,,2,1,16,256,93.85,97.33,97.67,98.13,97.84,98.05,97.7,97.71,97.91,97.64,97.31
50,2016-09-03 4:00,267,filter:2-conv1:1-conv2:32-fc:2-Momentum,1_epoch,0.206,33.07,,,2,1,32,2,93.85,97.33,97.67,98.13,97.84,98.05,97.7,97.71,97.91,97.64,97.31
51,2016-09-03 4:00,338,filter:2-conv1:1-conv2:16-fc:512-Momentum,1_epoch,0.249,92.81,,,2,1,16,512,93.85,97.33,97.67,98.13,97.84,98.05,97.7,97.71,97.91,97.64,97.31
52,2016-09-03 4:00,818,filter:2-conv1:1-conv2:32-fc:8-Momentum,1_epoch,0.164,74.89,,,2,1,32,8,93.85,97.33,97.67,98.13,97.84,98.05,97.7,97.71,97.91,97.64,97.31
53,2016-09-03 4:00,971,filter:2-conv1:1-conv2:32-fc:16-Momentum,1_epoch,0.223,87.56,,,2,1,32,16,93.85,97.33,97.67,98.13,97.84,98.05,97.7,97.71,97.91,97.64,97.31
54,2016-09-03 4:00,77,filter:2-conv1:1-conv2:32-fc:32-Momentum,1_epoch,0.302,90.74,,,2,1,32,32,93.85,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
55,2016-09-03 4:00,119,filter:2-conv1:1-conv2:32-fc:4-Momentum,1_epoch,0.317,54.92,,,2,1,32,4,93.85,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
