,Date,msec,Setting,Step,Elapsed Time,Metric1,Metric2,Metric3,Param1,Param2,Param3,Param4,Total Time,Best
93,2016-09-03 4:02,895,filter:2-conv1:1-conv2:512-fc:32-Momentum,1_epoch,0.424,10.28,,,2,1,512,32,23.432,94.94
94,2016-09-03 4:02,26,filter:2-conv1:1-conv2:512-fc:4-Momentum,1_epoch,0.448,10.28,,,2,1,512,4,23.88,94.94
95,2016-09-03 4:02,114,filter:2-conv1:1-conv2:512-fc:16-Momentum,1_epoch,0.481,48.65,,,2,1,512,16,24.361,94.94
96,2016-09-03 4:02,420,filter:2-conv1:1-conv2:512-fc:64-Momentum,1_epoch,0.321,10.28,,,2,1,512,64,24.682,94.94
97,2016-09-03 4:02,847,filter:2-conv1:1-conv2:512-fc:128-Momentum,1_epoch,0.371,10.28,,,2,1,512,128,25.053,94.94
98,2016-09-03 4:02,860,filter:2-conv1:1-conv2:512-fc:256-Momentum,1_epoch,0.351,10.28,,,2,1,512,256,25.404,94.94
99,2016-09-03 4:02,201,filter:2-conv1:1-conv2:512-fc:512-Momentum,1_epoch,0.5,10.28,,,2,1,512,512,25.904,94.94
100,2016-09-03 4:02,493,filter:2-conv1:2-conv2:1-fc:8-Momentum,1_epoch,0.141,29.07,,,2,2,1,8,26.045,94.94
101,2016-09-03 4:02,764,filter:2-conv1:2-conv2:1-fc:2-Momentum,1_epoch,0.248,10.28,,,2,2,1,2,26.293,94.94
102,2016-09-03 4:02,776,filter:2-conv1:2-conv2:1-fc:1-Momentum,1_epoch,0.183,10.28,,,2,2,1,1,26.476,94.94
103,2016-09-03 4:02,790,filter:2-conv1:2-conv2:1-fc:4-Momentum,1_epoch,0.151,10.28,,,2,2,1,4,26.627,94.94
104,2016-09-03 4:02,704,filter:2-conv1:2-conv2:1-fc:128-Momentum,1_epoch,0.156,10.28,,,2,2,1,128,26.783,94.94
105,2016-09-03 4:02,22,filter:2-conv1:2-conv2:1-fc:32-Momentum,1_epoch,0.12,73.8,,,2,2,1,32,26.903,94.94
106,2016-09-03 4:02,23,filter:2-conv1:2-conv2:1-fc:64-Momentum,1_epoch,0.133,81.72,,,2,2,1,64,27.036,94.94
107,2016-09-03 4:02,188,filter:2-conv1:2-conv2:1-fc:16-Momentum,1_epoch,0.205,61.5,,,2,2,1,16,27.241,94.94
108,2016-09-03 4:02,479,filter:2-conv1:2-conv2:1-fc:512-Momentum,1_epoch,0.149,10.28,,,2,2,1,512,27.39,94.94
